Plot_ID;Genotype;Bloc;Location;Year;protein;tgw;kph;plot_lengt;plot_width;moisture;plot_yld;ave_moist;yld_ton_ha;str_height;screenings;septoria1;heading1;lodging1;mildew1;hagberg;ripen1;node_brek1;vigour;sprout_fld;lodging2;fusarium1;emergence;mildew2;yelow_rst1;septoria2;shedding;fusar_lab;septoria3;heading2;fusarium2;sprout_lab;yellowblot;green_leaf;water_abso;plant_coun;takeall;mnivale;germin;flowerdate;fusar_fld;ripen2;node_brek2;yelow_rst2;flowering;growthstge;brown_rst1;bydv;sprout_fl2
BN_2010_1;Alves;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;44,7;16,73;8,932;NA;NA;NA;8;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_10;Grafton;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;45,733;16,32;9,184;NA;NA;NA;7;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;NA;NA;NA;61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_11;Trapez;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;46,767;16,75;9,343;NA;NA;NA;8;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;NA;NA;NA;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_12;Avatar;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;50,933;17,1;10,133;NA;NA;NA;6;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;NA;NA;NA;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_13;Denman;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;45,7;16,29;9,18;NA;NA;NA;7;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;NA;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_14;Kingdom;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;44,6;16,26;8,963;NA;NA;NA;8;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_15;Alchemy;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;47,933;17,3;9,513;NA;NA;NA;6;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;NA;NA;NA;64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_16;Stigg;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;44,933;16,72;8,98;NA;NA;NA;5;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;NA;NA;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_17;Lion (Wheat);BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;48,8;16,39;9,791;NA;NA;NA;7;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;NA;NA;NA;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_18;Gravitas;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;47,5;16,81;9,483;NA;NA;NA;6;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;NA;NA;NA;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_19;Edgar;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;42,1;16,75;8,411;NA;NA;NA;7;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_2;Einstein;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;45,267;16,44;9,077;NA;NA;NA;8;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_20;SJ 08-53;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;47,267;16,72;9,446;NA;NA;NA;8;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;NA;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_21;ELS 0849;BN_2010_1;BN;2010;NA;NA;NA;26,5;1,85;NA;46,8;16,77;9,347;NA;NA;NA;5;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_22;Oakley;BN_2010_2;BN;2010;8;49,4;75,1;26,5;1,85;17,06;51,9;16,95;10,344;NA;3,4;NA;6;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_23;Avatar;BN_2010_2;BN;2010;8;48,1;75,9;26,5;1,85;17,42;53,5;17,1;10,643;NA;3,4;NA;7;NA;NA;NA;6,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_24;Grafton;BN_2010_2;BN;2010;9;49,3;76,8;26,5;1,85;16,42;47,1;16,32;9,458;NA;2,6;NA;8;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
