Plot_ID;Genotype;Bloc;Location;Year;protein;tgw;kph;screenings;plot_lengt;plot_width;moisture;plot_yld;ave_moist;septoria1;septoria2;septoria3;mildew1;yld_ton_ha;mildew2;yelow_rst1;yelow_rst2;heading1;septoria4;brown_rst1;mildew3;yelow_rst3;lodging1;str_height;node_brek1;vigour;lodging2;hagberg;sprout_fld;mildew4;green_leaf;septoria5;fusarium1;heading2;ripen1;emergence;plant_coun;fusarium2;headng_old;flowerdate;lodging3;lodging4;fusar_fld;mildew_old;fusar_lab;shedding;sprout_lab;germin;yelow_rst4;yelow_rst5;nodorum;takeall;flowering;bydv;brown_rst2
BN_2010_1;Alchemy;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;17,7;15;6;7,5;6;NA;9,112;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_10;Alves;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;15,4;15;7,5;7,5;6,5;NA;7,928;NA;NA;NA;NA;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_11;SJ 08-53;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16,8;15;7;7;5,5;NA;8,649;NA;NA;NA;NA;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_12;Denman;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;17,4;15;7,5;7,5;7;NA;8,958;NA;NA;NA;NA;6,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_13;Grafton;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;15,9;15;6;6;4;NA;8,185;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_14;Edgar;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16,8;15;7;7,5;6,5;NA;8,649;NA;NA;NA;NA;6,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_15;Stigg;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;17,8;15;7,5;7,5;7,5;NA;9,163;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_16;Kingdom;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16;15;6,5;6;4,5;NA;8,237;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_17;Lion (Wheat);BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16,4;15;7;7;5,5;NA;8,443;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_18;Trapez;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;17,5;15;7;7;5,5;NA;9,009;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_19;Cordiale;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;15,4;15;6;6;4;NA;7,928;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_2;Einstein;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16;15;5;6;4;NA;8,237;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_20;ELS 0849;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16,5;15;6,5;6;5;NA;8,494;NA;NA;NA;NA;4,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_21;Gravitas;BN_2010_1;BN;2010;NA;NA;NA;NA;10,5;1,85;15;17,8;15;7,5;7,5;7;NA;9,163;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BN_2010_22;Cordiale;BN_2010_2;BN;2010;NA;NA;NA;NA;10,5;1,85;15;16;15;5;NA;3;NA;8,237;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
