Table 1
Plot_ID,Genotype,Bloc,Location,GPS1,GPS2,Year,protein,tgw,kph,plot_length,plot_width,moisture,plot_yld,ave_moist,yld_ton_ha,str_height,screenings,septoria1,heading1,lodging1,mildew1,hagberg,ripen1,node_brek1,vigour,sprout_fld,lodging2,fusarium1,emergence,mildew2,yelow_rst1,septoria2,shedding,fusar_lab,septoria3,heading2,fusarium2,sprout_lab,yellowblot,green_leaf,water_abso,plant_coun,takeall,mnivale,germin,flowerdate,fusar_fld,ripen2,node_brek2,yelow_rst2,flowering,growthstge,brown_rst1,bydv,sprout_fl2,,,,,
48,CORE,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,41.1,75.8,,,11.5,3.61,,4.02,79,,0,,9,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
84,CORE,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,39.6,75.0,,,11.4,3.64,,3.94,80,,2,,9,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
144,CORE,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,38.4,72.9,,,12.0,3.84,,4.05,85,,1,,9,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1,CORE,1,Arezzo,"43,316,126","11,819,875",2018,,42.5,74.9,,,10.9,4.07,,4.33,99,,2,,3,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
98,CORE,2,Arezzo,"43,316,126","11,819,875",2018,,41.5,75.1,,,10.2,3.94,,4.23,94,,3,,8,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
122,CORE,3,Arezzo,"43,316,126","11,819,875",2018,,46.5,78.1,,,10.8,3.54,,3.77,88,,2,,2,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4,CORE,1,Battipaglia (SA),"40,577,094","14,983,657",2018,,40.2,78.7,,,9.2,5.21,,5.18,105,,0,,1,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
95,CORE,2,Battipaglia (SA),"40,577,094","14,983,657",2018,,39.8,76.2,,,9.2,5.39,,5.36,102,,0,,1,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
142,CORE,3,Battipaglia (SA),"40,577,094","14,983,657",2018,,50.3,79.4,,,11.8,4.63,,5.22,103,,0,,3,0,,,,,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
40,CORE,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,49.4,82.7,,,10.5,5.84,,6.28,91,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
67,CORE,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,47.9,82.8,,,10.3,5.61,,6.04,90,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
106,CORE,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,46.9,82.4,,,10.0,5.35,,5.78,86,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
11,CORE,1,Foggia,"41,459,932","15,501,357",2019,,47.9,84.8,,,9.8,6.04,,6.14,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
